SMILES,MolWt,LogP,TPSA,RotB,AroProp
ClCC(Cl)(Cl)Cl,167.85,2.5954000000000006,0.0,0,0.0
CC(Cl)(Cl)Cl,133.405,2.376500000000001,0.0,0,0.0
ClC(Cl)C(Cl)Cl,167.85,2.5938,0.0,1,0.0
ClCC(Cl)Cl,133.405,2.0289,0.0,1,0.0
FC(F)(Cl)C(F)(Cl)Cl,187.37500000000003,2.9189,0.0,1,0.0
CC(Cl)Cl,98.96,1.81,0.0,0,0.0
ClC(=C)Cl,96.944,1.9352,0.0,0,0.0
CCOC(C)OCC,118.176,1.4054,18.46,4,0.0
Clc1ccc(Cl)c(Cl)c1Cl,215.894,4.3002,0.0,0,0.6
C1CCc2ccccc2C1,132.20599999999996,2.5654000000000003,0.0,0,0.6
Clc1cc(Cl)c(Cl)c(Cl)c1,215.894,4.3002,0.0,0,0.6
Clc1cccc(Cl)c1Cl,181.449,3.6468000000000007,0.0,0,0.6666666666666666
Cc1cccc(C)c1C,120.195,2.611860000000001,0.0,0,0.6666666666666666
Brc1cc(Br)c(Br)cc1Br,393.698,4.7366,0.0,0,0.6
Clc1cc(Cl)c(Cl)cc1Cl,215.894,4.3002,0.0,0,0.6
Cc1cc(C)c(C)cc1C,134.22199999999998,2.9202800000000018,0.0,0,0.6
c1(Br)c(Br)cc(Br)cc1,314.802,3.974100000000001,0.0,0,0.6666666666666666
Clc1ccc(Cl)c(Cl)c1,181.449,3.6468000000000007,0.0,0,0.6666666666666666
Cc1ccc(C)c(C)c1,120.195,2.611860000000001,0.0,0,0.6666666666666666
Oc1ccccc1O,110.11199999999998,1.0978,40.46,0,0.75
Brc1ccccc1Br,235.906,3.2116000000000007,0.0,0,0.75
BrCCBr,187.862,1.7762,0.0,1,0.0
Clc1ccccc1Cl,147.00399999999996,2.9934000000000003,0.0,0,0.75
ClCCCl,98.96,1.464,0.0,1,0.0
CC(Cl)CCl,112.987,1.8525,0.0,1,0.0
FC(F)(Cl)C(F)(F)Cl,170.92000000000002,2.6495999999999995,0.0,1,0.0
CCOCCOCC,118.176,1.0594,18.46,5,0.0
CCc1ccccc1CC,134.22199999999998,2.811400000000001,0.0,2,0.6
O=N(=O)c1ccccc1N(=O)=O,168.10799999999995,1.503,86.28,2,0.5
CC1CO1,58.08,0.4051,12.53,0,0.0
Brc1cc(Br)cc(Br)c1,314.802,3.974100000000001,0.0,0,0.6666666666666666
Clc1cc(Cl)cc(Cl)c1,181.449,3.6468000000000007,0.0,0,0.6666666666666666
Cc1cc(C)cc(C)c1,120.19499999999998,2.611860000000001,0.0,0,0.6666666666666666
O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,213.10499999999996,1.4112,129.42000000000002,3,0.4
Oc1cccc(O)c1,110.11199999999998,1.0978,40.46,0,0.75
C=CC=C,54.09199999999999,1.3584,0.0,1,0.0
Brc1cccc(Br)c1,235.906,3.2116000000000007,0.0,0,0.75
Clc1cccc(Cl)c1,147.004,2.993400000000001,0.0,0,0.75
ClCCCCl,112.987,1.8541,0.0,2,0.0
CCNC(=S)NCC,132.232,0.4903,24.06,2,0.0
Fc1cccc(F)c1,114.094,1.9648,0.0,0,0.75
Cc1cc(C)c2ccccc2c1,156.22799999999998,3.456640000000002,0.0,0,0.8333333333333334
O=N(=O)c1cccc(c1)N(=O)=O,168.10799999999995,1.503,86.28,2,0.5
Oc1ccc(O)cc1,110.11199999999998,1.0978,40.46,0,0.75
C1C=CCC=C1,80.12999999999998,1.8926,0.0,0,0.0
Brc1ccc(Br)cc1,235.906,3.2116000000000007,0.0,0,0.75
Clc1ccc(Cl)cc1,147.00400000000002,2.993400000000001,0.0,0,0.75
CCc1ccc(CC)cc1,134.22199999999998,2.811400000000001,0.0,2,0.6
Fc1ccc(F)cc1,114.094,1.9648,0.0,0,0.75
Cc1ccc(C)c2ccccc12,156.228,3.456640000000002,0.0,0,0.8333333333333334
O=N(=O)c1ccc(cc1)N(=O)=O,168.10799999999995,1.503,86.28,2,0.5
C=CCC=C,68.119,1.7485,0.0,2,0.0
Cc1cccc2c(C)cccc12,156.228,3.456640000000002,0.0,0,0.8333333333333334
C=CCCC=C,82.14599999999999,2.1386000000000003,0.0,3,0.0
c1cnc2c(c1)ccc3ncccc23,180.21,2.7830000000000004,25.78,0,1.0
CC12CCC(CC1)C(C)(C)O2,154.253,2.7441000000000013,9.23,0,0.0
CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,302.4580000000001,4.269300000000004,37.3,0,0.0
Nc2cccc3nc1ccccc1cc23 ,194.237,2.970200000000001,38.91,0,0.9333333333333332
CC(C)CBr,137.01999999999998,2.0373,0.0,1,0.0
CCCCBr,137.01999999999998,2.1814,0.0,2,0.0
CCCCCCCBr,179.101,3.351700000000002,0.0,5,0.0
CCCCCCBr,165.074,2.9616000000000016,0.0,4,0.0
Brc1cccc2ccccc12,207.07,3.6023000000000014,0.0,0,0.9090909090909092
CCCCCCCCBr,193.128,3.741800000000003,0.0,6,0.0
CCCCCBr,151.047,2.5715000000000012,0.0,3,0.0
CCCBr,122.993,1.7913,0.0,1,0.0
CCCCO,74.12299999999999,0.7787999999999999,20.23,2,0.0
CCC=C,56.108,1.5824,0.0,1,0.0
CCC#C,54.09199999999999,1.0295999999999998,0.0,0,0.0
ClCCBr,143.411,1.6201,0.0,1,0.0
ClCC(C)C,92.569,1.8812,0.0,1,0.0
CCCCCl,92.569,2.0253,0.0,2,0.0
CCCCCCCCl,134.65,3.1956000000000016,0.0,5,0.0
CCCCCCCl,120.623,2.805500000000001,0.0,4,0.0
