SMILES,MolWt,LogP,TPSA,RotB,AroProp,HBD,HBA,RingCount,FractionCSP3,HeavyAtomCount,BertzCT
ClCC(Cl)(Cl)Cl,167.85,2.5954000000000006,0.0,0,0.0,0,0,0,1.0,6,35.30296890880646
CC(Cl)(Cl)Cl,133.405,2.376500000000001,0.0,0,0.0,0,0,0,1.0,5,20.36452797660028
ClC(Cl)C(Cl)Cl,167.85,2.5938,0.0,1,0.0,0,0,0,1.0,6,26.529325012980813
ClCC(Cl)Cl,133.405,2.0289,0.0,1,0.0,0,0,0,1.0,5,18.854752972273342
FC(F)(Cl)C(F)(Cl)Cl,187.37500000000003,2.9189,0.0,1,0.0,0,0,0,1.0,8,67.50977500432694
CC(Cl)Cl,98.96,1.81,0.0,0,0.0,0,0,0,1.0,4,8.75488750216347
ClC(=C)Cl,96.944,1.9352,0.0,0,0.0,0,0,0,0.0,4,27.019550008653873
CCOC(C)OCC,118.176,1.4054,18.46,4,0.0,0,2,0,1.0,8,39.79319390447952
Clc1ccc(Cl)c(Cl)c1Cl,215.894,4.3002,0.0,0,0.6,0,0,1,0.0,10,229.16988337222986
C1CCc2ccccc2C1,132.20599999999996,2.5654000000000003,0.0,0,0.6,0,0,2,0.4,10,200.23484899951498
Clc1cc(Cl)c(Cl)c(Cl)c1,215.894,4.3002,0.0,0,0.6,0,0,1,0.0,10,232.91988337222986
Clc1cccc(Cl)c1Cl,181.449,3.6468000000000007,0.0,0,0.6666666666666666,0,0,1,0.0,9,199.2929995478469
Cc1cccc(C)c1C,120.195,2.611860000000001,0.0,0,0.6666666666666666,0,0,1,0.3333333333333333,9,191.0283370413565
Brc1cc(Br)c(Br)cc1Br,393.698,4.7366,0.0,0,0.6,0,0,1,0.0,10,205.9198833722299
Clc1cc(Cl)c(Cl)cc1Cl,215.894,4.3002,0.0,0,0.6,0,0,1,0.0,10,205.9198833722299
Cc1cc(C)c(C)cc1C,134.22199999999998,2.9202800000000018,0.0,0,0.6,0,0,1,0.4,10,196.2103774276832
c1(Br)c(Br)cc(Br)cc1,314.802,3.974100000000001,0.0,0,0.6666666666666666,0,0,1,0.0,9,219.54299954784685
Clc1ccc(Cl)c(Cl)c1,181.449,3.6468000000000007,0.0,0,0.6666666666666666,0,0,1,0.0,9,219.54299954784685
Cc1ccc(C)c(C)c1,120.195,2.611860000000001,0.0,0,0.6666666666666666,0,0,1,0.3333333333333333,9,211.27833704135645
Oc1ccccc1O,110.11199999999998,1.0978,40.46,0,0.75,2,2,1,0.0,8,162.63833891467198
Brc1ccccc1Br,235.906,3.2116000000000007,0.0,0,0.75,0,0,1,0.0,8,162.63833891467198
BrCCBr,187.862,1.7762,0.0,1,0.0,0,0,0,1.0,4,6.0
Clc1ccccc1Cl,147.00399999999996,2.9934000000000003,0.0,0,0.75,0,0,1,0.0,8,162.63833891467198
ClCCCl,98.96,1.464,0.0,1,0.0,0,0,0,1.0,4,6.0
CC(Cl)CCl,112.987,1.8525,0.0,1,0.0,0,0,0,1.0,5,18.854752972273342
FC(F)(Cl)C(F)(F)Cl,170.92000000000002,2.6495999999999995,0.0,1,0.0,0,0,0,1.0,8,67.01955000865388
CCOCCOCC,118.176,1.0594,18.46,5,0.0,0,2,0,1.0,8,31.509775004326936
CCc1ccccc1CC,134.22199999999998,2.811400000000001,0.0,2,0.6,0,0,1,0.4,10,177.9482132452993
O=N(=O)c1ccccc1N(=O)=O,168.10799999999995,1.503,86.28,2,0.5,0,4,1,0.0,12,303.0748996548373
CC1CO1,58.08,0.4051,12.53,0,0.0,0,1,1,1.0,4,22.464393446710154
Brc1cc(Br)cc(Br)c1,314.802,3.974100000000001,0.0,0,0.6666666666666666,0,0,1,0.0,9,169.06517765499825
Clc1cc(Cl)cc(Cl)c1,181.449,3.6468000000000007,0.0,0,0.6666666666666666,0,0,1,0.0,9,169.06517765499825
Cc1cc(C)cc(C)c1,120.19499999999998,2.611860000000001,0.0,0,0.6666666666666666,0,0,1,0.3333333333333333,9,160.80051514850786
O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,213.10499999999996,1.4112,129.42000000000002,3,0.4,0,6,1,0.0,15,377.17334888764105
Oc1cccc(O)c1,110.11199999999998,1.0978,40.46,0,0.75,2,2,1,0.0,8,166.38833891467198
C=CC=C,54.09199999999999,1.3584,0.0,1,0.0,0,0,0,0.0,4,21.019550008653873
Brc1cccc(Br)c1,235.906,3.2116000000000007,0.0,0,0.75,0,0,1,0.0,8,166.38833891467198
Clc1cccc(Cl)c1,147.004,2.993400000000001,0.0,0,0.75,0,0,1,0.0,8,166.38833891467198
ClCCCCl,112.987,1.8541,0.0,2,0.0,0,0,0,1.0,5,12.364527976600282
CCNC(=S)NCC,132.232,0.4903,24.06,2,0.0,2,1,0,0.8,8,64.82892142331043
Fc1cccc(F)c1,114.094,1.9648,0.0,0,0.75,0,0,1,0.0,8,166.38833891467198
Cc1cc(C)c2ccccc2c1,156.22799999999998,3.456640000000002,0.0,0,0.8333333333333334,0,0,2,0.16666666666666666,12,413.3078661934481
O=N(=O)c1cccc(c1)N(=O)=O,168.10799999999995,1.503,86.28,2,0.5,0,4,1,0.0,12,306.8248996548373
Oc1ccc(O)cc1,110.11199999999998,1.0978,40.46,0,0.75,2,2,1,0.0,8,145.38833891467198
C1C=CCC=C1,80.12999999999998,1.8926,0.0,0,0.0,0,0,1,0.3333333333333333,6,58.039100017307746
Brc1ccc(Br)cc1,235.906,3.2116000000000007,0.0,0,0.75,0,0,1,0.0,8,145.38833891467198
Clc1ccc(Cl)cc1,147.00400000000002,2.993400000000001,0.0,0,0.75,0,0,1,0.0,8,145.38833891467198
CCc1ccc(CC)cc1,134.22199999999998,2.811400000000001,0.0,2,0.6,0,0,1,0.4,10,160.69821324529929
Fc1ccc(F)cc1,114.094,1.9648,0.0,0,0.75,0,0,1,0.0,8,145.38833891467198
Cc1ccc(C)c2ccccc12,156.228,3.456640000000002,0.0,0,0.8333333333333334,0,0,2,0.16666666666666666,12,372.8078661934481
O=N(=O)c1ccc(cc1)N(=O)=O,168.10799999999995,1.503,86.28,2,0.5,0,4,1,0.0,12,285.8248996548373
C=CCC=C,68.119,1.7485,0.0,2,0.0,0,0,0,0.2,5,29.302968908806463
Cc1cccc2c(C)cccc12,156.228,3.456640000000002,0.0,0,0.8333333333333334,0,0,2,0.16666666666666666,12,372.05786619344804
C=CCCC=C,82.14599999999999,2.1386000000000003,0.0,3,0.0,0,0,0,0.3333333333333333,6,36.0
c1cnc2c(c1)ccc3ncccc23,180.21,2.7830000000000004,25.78,0,1.0,0,2,3,0.0,14,547.2925174892929
CC12CCC(CC1)C(C)(C)O2,154.253,2.7441000000000013,9.23,0,0.0,0,1,3,1.0,11,160.9567031494677
CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,302.4580000000001,4.269300000000004,37.3,0,0.0,1,2,4,0.85,22,545.9104984355639
Nc2cccc3nc1ccccc1cc23 ,194.237,2.970200000000001,38.91,0,0.9333333333333332,1,2,3,0.0,15,644.1543647116673
CC(C)CBr,137.01999999999998,2.0373,0.0,1,0.0,0,0,0,1.0,5,17.609640474436812
CCCCBr,137.01999999999998,2.1814,0.0,2,0.0,0,0,0,1.0,5,11.119415478763749
CCCCCCCBr,179.101,3.351700000000002,0.0,5,0.0,0,0,0,1.0,8,29.368065554250645
CCCCCCBr,165.074,2.9616000000000016,0.0,4,0.0,0,0,0,1.0,7,23.360990398949916
Brc1cccc2ccccc12,207.07,3.6023000000000014,0.0,0,0.9090909090909092,0,0,2,0.0,11,374.03449039867854
CCCCCCCCBr,193.128,3.741800000000003,0.0,6,0.0,0,0,0,1.0,9,37.832293921787276
CCCCCBr,151.047,2.5715000000000012,0.0,3,0.0,0,0,0,1.0,6,15.900134529890124
CCCBr,122.993,1.7913,0.0,1,0.0,0,0,0,1.0,4,5.245112497836532
CCCCO,74.12299999999999,0.7787999999999999,20.23,2,0.0,1,1,0,1.0,5,11.119415478763749
CCC=C,56.108,1.5824,0.0,1,0.0,0,0,0,0.5,4,14.0
CCC#C,54.09199999999999,1.0295999999999998,0.0,0,0.0,0,0,0,0.5,4,29.793193904479523
ClCCBr,143.411,1.6201,0.0,1,0.0,0,0,0,1.0,4,8.0
ClCC(C)C,92.569,1.8812,0.0,1,0.0,0,0,0,1.0,5,17.609640474436812
CCCCCl,92.569,2.0253,0.0,2,0.0,0,0,0,1.0,5,11.119415478763749
CCCCCCCCl,134.65,3.1956000000000016,0.0,5,0.0,0,0,0,1.0,8,29.368065554250645
CCCCCCCl,120.623,2.805500000000001,0.0,4,0.0,0,0,0,1.0,7,23.360990398949916
Clc1cccc2ccccc12,162.61899999999997,3.4932000000000016,0.0,0,0.9090909090909092,0,0,2,0.0,11,374.03449039867854
CCCCCCl,106.596,2.415400000000001,0.0,3,0.0,0,0,0,1.0,6,15.900134529890124
CCCCl,78.542,1.6352,0.0,1,0.0,0,0,0,1.0,4,5.245112497836532
CCCCCCCCCCO,158.285,3.119400000000002,20.23,8,0.0,1,1,0,1.0,11,53.89311688209828
CCCCCCCCC=C,140.26999999999998,3.923000000000003,0.0,7,0.0,0,0,0,0.8,10,64.43856189774726
CCCCCCCCCCCCO,186.33899999999997,3.899600000000003,20.23,10,0.0,1,1,0,1.0,13,71.19366193720087
CCc1cccc2ccccc12,156.22799999999998,3.4022000000000023,0.0,1,0.8333333333333334,0,0,2,0.16666666666666666,12,382.66537277547695
CCCCCCCO,116.204,1.9491,20.23,5,0.0,1,1,0,1.0,8,29.368065554250645
CCCCCC=C,98.189,2.752700000000001,0.0,4,0.0,0,0,0,0.7142857142857143,7,37.30296890880646
CCCCCC#C,96.173,2.1999000000000004,0.0,3,0.0,0,0,0,0.7142857142857143,7,56.928786893420316
CCCCCCCCCCCCCCCCO,242.44699999999992,5.460000000000006,20.23,14,0.0,1,1,0,1.0,17,108.69358616951132
CCCCCCO,102.177,1.559,20.23,4,0.0,1,1,0,1.0,7,23.360990398949916
CCCCC=C,84.16199999999999,2.3626000000000005,0.0,3,0.0,0,0,0,0.6666666666666666,6,29.019550008653873
CCCC(O)C=C,100.161,1.3334,20.23,3,0.0,1,1,0,0.6666666666666666,7,50.14170945007629
CCCCC#C,82.14599999999999,1.8098,0.0,2,0.0,0,0,0,0.6666666666666666,6,47.548875021634686
CCCCI,184.02,2.2215,0.0,2,0.0,0,0,0,1.0,5,11.119415478763749
CCCCCCCI,226.101,3.3918000000000026,0.0,5,0.0,0,0,0,1.0,8,29.368065554250645
Ic1cccc2ccccc12,254.07,3.4444000000000017,0.0,0,0.9090909090909092,0,0,2,0.0,11,374.03449039867854
CCCI,169.993,1.8314,0.0,1,0.0,0,0,0,1.0,4,5.245112497836532
CC1=CCCCC1,96.17300000000002,2.5067000000000004,0.0,0,0.0,0,0,1,0.7142857142857143,7,80.03910001730775
Cc1cccc2c1Cc3ccccc32,180.25000000000003,3.566220000000002,0.0,0,0.8571428571428571,0,0,3,0.14285714285714285,14,495.14153898843506
Cc1cccc2ccccc12,142.201,3.148220000000002,0.0,0,0.9090909090909092,0,0,2,0.09090909090909091,11,369.2000235425419
Cc1cccc2c1ccc3ccccc32,192.261,4.301420000000003,0.0,0,0.9333333333333332,0,0,3,0.06666666666666667,15,635.6567221133737
Cn1ccc(=O)[nH]c1=O,126.115,-0.9264,54.86,0,0.6666666666666666,1,3,1,0.2,9,309.2243004823359
Oc1cccc2ccccc12,144.17299999999997,2.5454000000000008,20.23,0,0.9090909090909092,1,1,2,0.0,11,374.03449039867854
Nc1cccc2ccccc12,143.189,2.4220000000000006,26.02,0,0.9090909090909092,1,1,2,0.0,11,374.03449039867854
O=N(=O)c1cccc2ccccc12,173.171,2.748000000000001,43.14,1,0.7692307692307693,0,2,2,0.0,13,459.93632858848656
CCCN(=O)=O,89.09399999999998,0.6731,43.14,2,0.0,0,2,0,1.0,6,52.75488750216347
CCCCCCCCCO,144.258,2.7293000000000016,20.23,7,0.0,1,1,0,1.0,10,44.68995593589281
CCCCCCCC=C,126.243,3.5329000000000024,0.0,6,0.0,0,0,0,0.7777777777777778,9,55.058650025961626
CCCCCCCC#C,124.227,2.980100000000002,0.0,5,0.0,0,0,0,0.7777777777777778,9,76.52932501298082
CCCCCCCCCCCCCCCCCCO,270.50099999999986,6.240200000000008,20.23,16,0.0,1,1,0,1.0,19,128.62570933197804
CCCCCCCCO,130.23100000000002,2.3392000000000013,20.23,6,0.0,1,1,0,1.0,9,37.832293921787276
CCCCCCC=C,112.216,3.142800000000002,0.0,5,0.0,0,0,0,0.75,8,46.0
CCCCCCC#C,110.2,2.5900000000000007,0.0,4,0.0,0,0,0,0.75,8,66.59772060569361
CCCCCCCCCCCCCCCO,228.41999999999993,5.069900000000006,20.23,13,0.0,1,1,0,1.0,16,98.00257888348511
CCCCCO,88.14999999999999,1.1689,20.23,3,0.0,1,1,0,1.0,6,15.900134529890124
CCCC=C,70.135,1.9725,0.0,2,0.0,0,0,0,0.6,5,21.219280948873624
CCCC#C,68.11899999999999,1.4197,0.0,1,0.0,0,0,0,0.6,5,38.49022499567306
CC(O)c1ccccc1,122.16699999999996,1.7399,20.23,1,0.6666666666666666,1,1,1,0.25,9,167.1823264341432
CCCO,60.096,0.3887,20.23,1,0.0,1,1,0,1.0,4,5.245112497836532
CCCCCCCCCCCCCCO,214.39299999999992,4.679800000000005,20.23,12,0.0,1,1,0,1.0,15,89.51182269698973
Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl ,498.66200000000026,9.8876,0.0,1,0.5454545454545454,0,0,2,0.0,22,669.959813936206
Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,429.77200000000016,8.580799999999998,0.0,1,0.6,0,0,2,0.0,20,646.0791147319976
Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl ,360.88200000000006,7.274000000000001,0.0,1,0.6666666666666666,0,0,2,0.0,18,564.9500798683472
Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,429.77200000000016,8.580799999999998,0.0,1,0.6,0,0,2,0.0,20,593.5791147319975
Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,360.88200000000006,7.274000000000001,0.0,1,0.6666666666666666,0,0,2,0.0,18,594.2000798683472
