SMILES,HBA,BertzCT,TPSA,RotB,LogP,MolWt,AroProp,logS
ClCC(Cl)(Cl)Cl,0,35.30296890880646,0.0,0,2.5954000000000006,167.85,0.0,-2.18
CC(Cl)(Cl)Cl,0,20.36452797660028,0.0,0,2.376500000000001,133.405,0.0,-2.0
ClC(Cl)C(Cl)Cl,0,26.529325012980813,0.0,1,2.5938,167.85,0.0,-1.74
ClCC(Cl)Cl,0,18.854752972273342,0.0,1,2.0289,133.405,0.0,-1.48
FC(F)(Cl)C(F)(Cl)Cl,0,67.50977500432694,0.0,1,2.9189,187.37500000000003,0.0,-3.04
CC(Cl)Cl,0,8.75488750216347,0.0,0,1.81,98.96,0.0,-1.29
ClC(=C)Cl,0,27.019550008653873,0.0,0,1.9352,96.944,0.0,-1.64
CCOC(C)OCC,2,39.79319390447952,18.46,4,1.4054,118.176,0.0,-0.43
Clc1ccc(Cl)c(Cl)c1Cl,0,229.16988337222983,0.0,0,4.3002,215.894,0.6,-4.57
C1CCc2ccccc2C1,0,200.23484899951495,0.0,0,2.5654000000000003,132.20599999999996,0.6,-4.37
Clc1cc(Cl)c(Cl)c(Cl)c1,0,232.91988337222983,0.0,0,4.3002,215.894,0.6,-4.63
Clc1cccc(Cl)c1Cl,0,199.2929995478469,0.0,0,3.6468000000000007,181.449,0.6666666666666666,-4.0
Cc1cccc(C)c1C,0,191.0283370413565,0.0,0,2.611860000000001,120.195,0.6666666666666666,-3.2
Brc1cc(Br)c(Br)cc1Br,0,205.9198833722299,0.0,0,4.7366,393.698,0.6,-6.98
Clc1cc(Cl)c(Cl)cc1Cl,0,205.9198833722299,0.0,0,4.3002,215.894,0.6,-5.56
Cc1cc(C)c(C)cc1C,0,196.2103774276832,0.0,0,2.9202800000000018,134.22199999999998,0.6,-4.59
c1(Br)c(Br)cc(Br)cc1,0,219.54299954784685,0.0,0,3.974100000000001,314.802,0.6666666666666666,-4.5
Clc1ccc(Cl)c(Cl)c1,0,219.54299954784685,0.0,0,3.6468000000000007,181.449,0.6666666666666666,-3.59
Cc1ccc(C)c(C)c1,0,211.27833704135645,0.0,0,2.611860000000001,120.195,0.6666666666666666,-3.31
Oc1ccccc1O,2,162.63833891467198,40.46,0,1.0978,110.11199999999998,0.75,0.62
Brc1ccccc1Br,0,162.63833891467198,0.0,0,3.2116000000000007,235.906,0.75,-3.5
BrCCBr,0,6.0,0.0,1,1.7762,187.862,0.0,-1.68
Clc1ccccc1Cl,0,162.63833891467198,0.0,0,2.9934000000000003,147.00399999999996,0.75,-3.05
ClCCCl,0,6.0,0.0,1,1.464,98.96,0.0,-1.06
CC(Cl)CCl,0,18.854752972273342,0.0,1,1.8525,112.987,0.0,-1.6
FC(F)(Cl)C(F)(F)Cl,0,67.01955000865388,0.0,1,2.6495999999999995,170.92000000000002,0.0,-2.74
CCOCCOCC,2,31.509775004326936,18.46,5,1.0594,118.176,0.0,-0.77
CCc1ccccc1CC,0,177.9482132452993,0.0,2,2.811400000000001,134.22199999999998,0.6,-3.28
