param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,mean_test_RMSE,std_test_RMSE,mean_train_score,std_train_score
200,20,4,2,0.7133379883371542,0.06460845605593817,-0.3654861813517691,0.005046873213618624
200,20,2,2,0.7133379883371542,0.06460845605593823,-0.3654861813517691,0.0050468732136186335
200,40,4,2,0.7133569206136567,0.06461024377535673,-0.36547822169605954,0.0050491788879083645
200,40,2,2,0.7133569206136567,0.06461024377535675,-0.36547822169605954,0.005049178887908381
400,40,4,2,0.7134007947485671,0.06512417379697767,-0.3647787988324403,0.005600493983841477
400,40,2,2,0.7134007947485671,0.06512417379697764,-0.36477879883244024,0.005600493983841482
400,20,4,2,0.7134021453904158,0.06511713215970011,-0.3647792292187077,0.005597066524303371
400,20,2,2,0.7134021453904158,0.06511713215970016,-0.3647792292187077,0.005597066524303371
400,20,2,1,0.7139108590663573,0.0687790389641043,-0.27879137524204234,0.0038142785225240335
400,40,2,1,0.7139974247988486,0.0688461315241061,-0.278790217377909,0.003732941905699953
200,40,2,1,0.7141127984614002,0.06722306791878545,-0.2801742071541736,0.0038718129824539416
200,20,2,1,0.7142482064690965,0.06732612921124241,-0.28015830427989785,0.00392329881792802
100,40,4,2,0.7142624831813312,0.06504514869573551,-0.36857511168183266,0.006189017766232455
100,20,2,2,0.7142624831813313,0.06504514869573554,-0.36857511168183266,0.0061890177662324375
100,20,4,2,0.7142624831813313,0.0650451486957355,-0.36857511168183266,0.006189017766232454
100,40,2,2,0.7142624831813313,0.06504514869573551,-0.36857511168183266,0.006189017766232409
400,20,4,1,0.7142852411197376,0.06834687599124567,-0.31831664474292004,0.005329679558202239
400,40,4,1,0.7142969294646766,0.06833570345288109,-0.318325104851297,0.005321319073871351
100,40,2,1,0.7148273490567555,0.06666013538844859,-0.2837134618595253,0.004949217387351549
100,20,2,1,0.7148385646162427,0.06651928968596629,-0.2836415864477715,0.00507867360515027
200,20,4,1,0.715276198157474,0.06722418031479363,-0.3191475105844515,0.005136437845620975
200,40,4,1,0.7153096663124352,0.06720289629571424,-0.31916712095698063,0.00512477276322641
200,10,2,1,0.7154201302862161,0.06555495229835076,-0.3203081344357149,0.0039835805552221664
400,10,4,2,0.7155477690750216,0.06441778842202084,-0.38162358817048936,0.00541392194637321
400,10,2,2,0.7155477690750216,0.06441778842202085,-0.38162358817048936,0.005413921946373208
200,10,2,2,0.715682272875041,0.06404653539387707,-0.3824291273759461,0.005138258859284627
200,10,4,2,0.7156822728750412,0.06404653539387703,-0.38242912737594603,0.00513825885928461
100,40,4,1,0.7156903076103477,0.06594534789496707,-0.3226285809254644,0.005960026330029654
100,20,4,1,0.7157007468184549,0.06589281469947375,-0.32262363887018475,0.005957308127958862
400,10,2,1,0.7163530680138472,0.06610803468482439,-0.3185551490289324,0.003207300527865238
100,10,2,2,0.7165784044117757,0.06465362961853069,-0.3855463333048444,0.006549654583985269
100,10,4,2,0.7165784044117758,0.0646536296185306,-0.38554633330484434,0.006549654583985236
100,10,2,1,0.716840666641351,0.06291835391497086,-0.3241301951215056,0.00486975071704418
200,10,4,1,0.7171618759685175,0.06523677679940085,-0.34921242403775204,0.005385249077293763
400,10,4,1,0.7174481932332956,0.06664399434464718,-0.3479627894977901,0.004926106833597322
100,10,4,1,0.717845600909469,0.06378228356159893,-0.3522930788863697,0.006066330394955069
100,40,8,1,0.7194091067106613,0.06701996521125926,-0.40073256638743027,0.008638236146767493
100,20,8,1,0.7194091067106613,0.06701996521125923,-0.40073256638743027,0.008638236146767463
200,40,8,2,0.7196660522040135,0.06421846332956006,-0.42974464652027244,0.007439906534527834
200,20,8,2,0.7196660522040135,0.0642184633295601,-0.42974464652027244,0.007439906534527834
100,10,8,2,0.719702526250001,0.06535104674343804,-0.4405885322187479,0.008520489058627935
200,20,8,1,0.7197705994910774,0.06717561230335045,-0.39844160726095074,0.008210206229647302
200,40,8,1,0.7197960451407805,0.06715895923781871,-0.3984415164258353,0.008211688463853159
100,10,8,1,0.7198069612154054,0.06618131817845935,-0.4152785279106225,0.008600335582465733
200,10,8,2,0.7199296209222373,0.06496977792446992,-0.43818777651773433,0.007282712136068085
400,20,8,2,0.720324222204045,0.06595291589604803,-0.42889557231560105,0.007510406489207855
400,40,8,2,0.720334768228866,0.06594732766379555,-0.4288948200640067,0.007510079910386173
100,40,8,2,0.7203499863111668,0.06479814854332498,-0.43200037544195247,0.00867847402706699
100,20,8,2,0.7203499863111668,0.06479814854332498,-0.43200037544195247,0.00867847402706697
400,20,8,1,0.7203936297133084,0.06930475928119811,-0.39739718008936376,0.008135277672722895
400,40,8,1,0.7204313515194547,0.06935400806152008,-0.39739247447025283,0.008136969595966794
200,10,8,1,0.7207744566197622,0.06701674654775766,-0.4131691425693827,0.008109480151364284
400,10,8,2,0.721390306470245,0.06593937088687661,-0.4372740465546395,0.007273512549356651
400,10,8,1,0.7221765452541996,0.06874941921550014,-0.41215254631318715,0.007782813995059444
100,40,2,4,0.7278543003973671,0.06897723673618647,-0.492231638846569,0.010697507599410254
100,40,4,4,0.7278543003973672,0.0689772367361864,-0.4922316388465691,0.010697507599410284
100,40,8,4,0.7278543003973672,0.06897723673618644,-0.492231638846569,0.010697507599410254
100,20,2,4,0.7278543003973672,0.06897723673618647,-0.4922316388465691,0.010697507599410272
100,20,8,4,0.7278543003973672,0.06897723673618637,-0.4922316388465691,0.010697507599410287
100,20,4,4,0.7278543003973672,0.06897723673618646,-0.492231638846569,0.01069750759941029
100,10,2,4,0.7282181755233469,0.06951561495731563,-0.49458496927919515,0.010689216676638252
100,10,8,4,0.7282181755233469,0.0695156149573156,-0.49458496927919526,0.010689216676638295
100,10,4,4,0.7282181755233469,0.0695156149573156,-0.49458496927919515,0.010689216676638249
200,40,8,4,0.7283381978441026,0.06942235735790557,-0.49017914277811786,0.009583070332483885
200,40,4,4,0.7283381978441026,0.06942235735790557,-0.49017914277811786,0.009583070332483842
200,20,4,4,0.7283381978441026,0.0694223573579056,-0.4901791427781178,0.009583070332483866
200,20,8,4,0.7283381978441027,0.06942235735790561,-0.4901791427781178,0.009583070332483878
200,40,2,4,0.7283381978441028,0.06942235735790565,-0.49017914277811786,0.009583070332483859
200,20,2,4,0.7283381978441028,0.06942235735790563,-0.49017914277811786,0.009583070332483868
200,10,8,4,0.7287423165490603,0.06937751309733593,-0.49244782924922054,0.009516662963670377
200,10,4,4,0.7287423165490603,0.06937751309733597,-0.49244782924922054,0.009516662963670371
200,10,2,4,0.7287423165490605,0.06937751309733592,-0.49244782924922054,0.009516662963670364
400,20,2,4,0.7288914229994943,0.07048308833666596,-0.4894419674340392,0.009578703535156009
400,40,2,4,0.7288914229994943,0.07048308833666597,-0.4894419674340392,0.00957870353515602
400,20,4,4,0.7288914229994943,0.07048308833666593,-0.48944196743403934,0.009578703535156025
400,20,8,4,0.7288914229994943,0.07048308833666599,-0.4894419674340392,0.009578703535156012
400,40,4,4,0.7288914229994943,0.07048308833666592,-0.48944196743403934,0.00957870353515604
400,40,8,4,0.7288914229994943,0.07048308833666599,-0.4894419674340392,0.00957870353515603
400,10,2,4,0.7291975981120448,0.07029790938620618,-0.4917912511609416,0.009478857405324592
400,10,8,4,0.7291975981120448,0.07029790938620621,-0.49179125116094147,0.009478857405324627
400,10,4,4,0.7291975981120449,0.07029790938620611,-0.4917912511609416,0.009478857405324607
