model,optimizer,n_features,hidden,dropout,lr,weight_decay,best_val_mse,test_rmse
(256-128)_0.1,adam_lr2e-3_wd1e-5,11,"(256, 128)",0.1,0.002,1e-05,0.30768445761580215,0.6358812218210395
(256-128)_0.0,adam_lr2e-3_wd0,11,"(256, 128)",0.0,0.002,0.0,0.3116324805376822,0.6417545298072449
(256-128)_0.1,adam_lr2e-3_wd1e-4,11,"(256, 128)",0.1,0.002,0.0001,0.3205701039548506,0.6260532204132808
(256-128)_0.1,adam_lr2e-3_wd0,11,"(256, 128)",0.1,0.002,0.0,0.3285783116231885,0.6382397831718667
(256-128)_0.1,adam_lr1e-3_wd1e-5,11,"(256, 128)",0.1,0.001,1e-05,0.33168371361598636,0.6357179052512558
(256-128)_0.2,adam_lr2e-3_wd0,11,"(256, 128)",0.2,0.002,0.0,0.3322159789110485,0.6387992280500404
(256-128)_0.0,adam_lr1e-3_wd1e-4,11,"(256, 128)",0.0,0.001,0.0001,0.33259316808299016,0.6350408961278798
(256-128)_0.0,adam_lr2e-3_wd1e-5,11,"(256, 128)",0.0,0.002,1e-05,0.3341530075198726,0.6308743509878865
(256-128)_0.0,adam_lr2e-3_wd1e-3,11,"(256, 128)",0.0,0.002,0.001,0.3350021096698025,0.6325659928538342
(128-64)_0.0,adam_lr2e-3_wd1e-4,11,"(128, 64)",0.0,0.002,0.0001,0.3351929125032927,0.6311933234606795
(256-128)_0.0,adam_lr2e-3_wd1e-4,11,"(256, 128)",0.0,0.002,0.0001,0.3356482308161886,0.6459347076670202
(128-64)_0.0,adam_lr2e-3_wd1e-3,11,"(128, 64)",0.0,0.002,0.001,0.33607218401473865,0.6532431385524324
(128-64)_0.2,adam_lr2e-3_wd1e-3,11,"(128, 64)",0.2,0.002,0.001,0.3367097079753876,0.6405661071454531
(256-128)_0.2,adam_lr2e-3_wd1e-4,11,"(256, 128)",0.2,0.002,0.0001,0.3378673493862152,0.6236258763497768
(128-64)_0.1,adam_lr2e-3_wd1e-4,11,"(128, 64)",0.1,0.002,0.0001,0.33895201327507957,0.6212324695301281
