model,optimizer,hidden,dropout,lr,weight_decay,best_val_mse,test_rmse
(128-64)_0.0,adam_lr2e-3,"(128, 64)",0.0,0.002,0.0001,0.39101615600418627,0.6455295249209534
(64-32-16-8)_0.0,adam_lr2e-3,"(64, 32, 16, 8)",0.0,0.002,0.0001,0.40406304284145955,0.6602033036492367
(128-64)_0.2,adam_lr2e-3,"(128, 64)",0.2,0.002,0.0001,0.4050379829448566,0.6390637970849677
(128-64)_0.1,adam_lr1e-3,"(128, 64)",0.1,0.001,0.0001,0.40794593827766285,0.6633158632304549
(256-128)_0.0,adam_lr1e-3,"(256, 128)",0.0,0.001,0.0001,0.4079784541799311,0.6906215205340379
(256-128)_0.2,adam_lr2e-3,"(256, 128)",0.2,0.002,0.0001,0.40869028369585675,0.6897071626899068
(256-128)_0.0,adam_lr2e-3,"(256, 128)",0.0,0.002,0.0001,0.40916640612117033,0.628510698808445
(64-32)_0.1,adam_lr2e-3,"(64, 32)",0.1,0.002,0.0001,0.4139325644886285,0.6394628495216074
(256-128)_0.0,adam_lr5e-4,"(256, 128)",0.0,0.0005,0.0001,0.41409264531051904,0.6410055017567692
(64-32-16-8)_0.1,adam_lr2e-3,"(64, 32, 16, 8)",0.1,0.002,0.0001,0.4202515106452139,0.6562362462136665
(256-128)_0.1,adam_lr1e-3,"(256, 128)",0.1,0.001,0.0001,0.4214890065946077,0.6531688855582178
(32-16)_0.0,adam_lr2e-3,"(32, 16)",0.0,0.002,0.0001,0.42250893042798626,0.6618100616896719
(128-64)_0.1,adam_lr2e-3,"(128, 64)",0.1,0.002,0.0001,0.4228544402540776,0.6193224478663669
(128-64)_0.0,adam_lr1e-3,"(128, 64)",0.0,0.001,0.0001,0.42671407105629905,0.6492606581852987
(256-128)_0.1,adam_lr2e-3,"(256, 128)",0.1,0.002,0.0001,0.4275247020679608,0.5854935051333976
(64-32-16)_0.0,adam_lr2e-3,"(64, 32, 16)",0.0,0.002,0.0001,0.4283814174041413,0.6826708894535828
(256-128)_0.1,adam_lr5e-4,"(256, 128)",0.1,0.0005,0.0001,0.4305809192490159,0.6705877761622193
(256-128)_0.2,adam_lr5e-4,"(256, 128)",0.2,0.0005,0.0001,0.43206390581632914,0.6399883391423278
(64-32-16)_0.2,adam_lr2e-3,"(64, 32, 16)",0.2,0.002,0.0001,0.43330438618074385,0.6651149170446062
(256-128)_0.4,adam_lr2e-3,"(256, 128)",0.4,0.002,0.0001,0.43449262987103376,0.6592971758975253
(32-16)_0.1,adam_lr2e-3,"(32, 16)",0.1,0.002,0.0001,0.43503543577696147,0.6608446248284411
(64-32)_0.0,adam_lr5e-4,"(64, 32)",0.0,0.0005,0.0001,0.43605091540436997,0.6831033765139171
(128-64)_0.2,adam_lr1e-3,"(128, 64)",0.2,0.001,0.0001,0.43608685177669193,0.6630672751433221
(128-64)_0.0,adam_lr5e-4,"(128, 64)",0.0,0.0005,0.0001,0.4365949839876409,0.6543411180513159
(64-32)_0.0,adam_lr2e-3,"(64, 32)",0.0,0.002,0.0001,0.4394472450540777,0.6604394347045873
(128-64)_0.1,adam_lr5e-4,"(128, 64)",0.1,0.0005,0.0001,0.4398749920359829,0.6542132281207044
(64-32-16)_0.1,adam_lr2e-3,"(64, 32, 16)",0.1,0.002,0.0001,0.44303902199393824,0.6940845568873109
(64-32-16)_0.0,adam_lr1e-3,"(64, 32, 16)",0.0,0.001,0.0001,0.4435532448584573,0.6344648866174971
(64-32)_0.2,adam_lr1e-3,"(64, 32)",0.2,0.001,0.0001,0.4440213441848755,0.6723480499431957
(64-32)_0.0,adam_lr1e-3,"(64, 32)",0.0,0.001,0.0001,0.4506751649212419,0.6728345358369608
(64-32-16-8)_0.2,adam_lr2e-3,"(64, 32, 16, 8)",0.2,0.002,0.0001,0.45194214477873684,0.6878203486268358
(64-32-16-8)_0.0,adam_lr5e-4,"(64, 32, 16, 8)",0.0,0.0005,0.0001,0.45636074061979326,0.6571063677702449
(256-128)_0.2,adam_lr1e-3,"(256, 128)",0.2,0.001,0.0001,0.45745233485573217,0.6555370721210916
(64-32)_0.2,adam_lr2e-3,"(64, 32)",0.2,0.002,0.0001,0.46098510738004717,0.6652271487248609
(64-32-16)_0.1,adam_lr1e-3,"(64, 32, 16)",0.1,0.001,0.0001,0.4613966596753974,0.6830575877546293
(64-32-16)_0.0,adam_lr5e-4,"(64, 32, 16)",0.0,0.0005,0.0001,0.4622571478810227,0.6692598930673245
(128-64)_0.4,adam_lr2e-3,"(128, 64)",0.4,0.002,0.0001,0.46230180012552363,0.6627537455779283
(256-128)_0.4,adam_lr1e-3,"(256, 128)",0.4,0.001,0.0001,0.4627253538683841,0.6615836862595085
(64-32-16-8)_0.0,adam_lr1e-3,"(64, 32, 16, 8)",0.0,0.001,0.0001,0.46279136758101613,0.6869274329707984
(64-32-16-8)_0.1,adam_lr1e-3,"(64, 32, 16, 8)",0.1,0.001,0.0001,0.46942621678636787,0.6853957137255168
