SMILES,logS,MolWt,LogP,TPSA,RotB,AroProp,HBD,HBA,RingCount,FractionCSP3,HeavyAtomCount,BertzCT
[Br-].CCCCCCCCCCCCCCCCCC[N+](C)(C)C,-3.6161271205,392.5100000000002,3.9581000000000017,0.0,17.0,0.0,0.0,0.0,0.0,1.0,23.0,210.377334085253
O=C1Nc2cccc3cccc1c23,-3.2547670983,169.18299999999996,2.405500000000001,29.1,0.0,0.7692307692307693,1.0,1.0,3.0,0.0,13.0,511.2292477154968
Clc1ccc(C=O)cc1,-2.1770779444,140.569,2.1525,17.07,1.0,0.6666666666666666,0.0,1.0,1.0,0.0,9.0,202.66106510209752
[Zn++].CC(c1ccccc1)c2cc(C(C)c3ccccc3)c(O)c(c2)C([O-])=O.CC(c4ccccc4)c5cc(C(C)c6ccccc6)c(O)c(c5)C([O-])=O,-3.9244090954,756.2260000000002,8.11610000000001,120.72,10.0,0.6792452830188679,2.0,6.0,6.0,0.17391304347826086,53.0,1964.648665828827
C1OC1CN(CC2CO2)c3ccc(Cc4ccc(cc4)N(CC5CO5)CC6CO6)cc3,-4.6620645831,422.5250000000002,2.4854000000000003,56.6,12.0,0.3870967741935484,0.0,6.0,6.0,0.52,31.0,769.8999341256456
Cc1cccc(C=C)c1,-3.1231503041,118.17899999999999,2.638020000000001,0.0,1.0,0.6666666666666666,0.0,0.0,1.0,0.1111111111111111,9.0,211.03322454351994
CCC1CCC(CCC(O)=O)C1,-3.2861163139999996,170.25199999999998,2.6775,37.3,4.0,0.0,1.0,1.0,1.0,0.9,12.0,153.9175691117035
CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO,-2.6645485391,376.4490000000002,0.5283999999999995,115.06000000000002,2.0,0.0,4.0,6.0,4.0,0.7142857142857143,27.0,755.7707920367225
Fc1ccc(cc1)C(=O)c2ccc(F)cc2,-4.396652184700001,218.202,3.195800000000001,17.07,2.0,0.75,0.0,1.0,2.0,0.0,16.0,452.9607327512057
O=C(OCCCOCCCOC(=O)c1ccccc1)c2ccccc2,-4.595502563999999,342.391,3.497200000000002,61.830000000000005,10.0,0.48,0.0,5.0,2.0,0.3,25.0,582.1507932669278
CN(C)c1ccc(C=O)cc1,-2.2827688499,149.19299999999998,1.5651,20.310000000000002,2.0,0.5454545454545454,0.0,2.0,1.0,0.2222222222222222,11.0,238.24457522403964
CC(=O)OC(C)(C)Cc1ccccc1,-2.3946499685,192.25800000000004,2.570800000000001,26.3,3.0,0.42857142857142855,0.0,2.0,1.0,0.4166666666666667,14.0,301.3575848525983
Cc1ccc(O)c(C)c1.Cc2ccc(C)c(O)c2.Cc3cc(C)cc(O)c3.Cc4ccc(O)cc4C.Cc5cccc(O)c5C.Cc6cccc(C)c6O,-1.9803097957,733.0020000000002,12.05423999999998,121.38000000000001,0.0,0.6666666666666666,6.0,6.0,6.0,0.25,54.0,1804.4185474688127
CC(C)(C)c1ccc(OCC2CO2)cc1,-3.4302388798,206.28499999999997,2.761700000000001,21.759999999999998,3.0,0.4,0.0,2.0,2.0,0.5384615384615384,15.0,317.38434399782966
COCCCCC(=O)c1ccc(cc1)C(F)(F)F,-3.5440597007999997,260.255,3.7048000000000023,26.3,6.0,0.3333333333333333,0.0,2.0,1.0,0.46153846153846156,18.0,382.2179844419697
CC(C)=CCC\C(C)=C/CO,-2.3206011661000003,154.253,2.6714000000000016,20.23,4.0,0.0,1.0,1.0,0.0,0.6,11.0,150.25571236699292
CC(Oc1ccc(Cl)cc1C)C(O)=O,-2.4660307863,214.64799999999997,2.5003199999999994,46.53,3.0,0.42857142857142855,1.0,2.0,1.0,0.3,14.0,349.2203893594689
[Zn++].CCCCC(CC)CO[P]([S-])(=S)OCC(C)C.CCCCC(CC)CO[P]([S-])(=S)OCC(C)C,-2.9581950472000003,660.2820000000003,9.324300000000001,36.92,20.0,0.0,0.0,8.0,0.0,1.0,35.0,523.6422056449971
FC(F)(F)c1cccc(Cl)c1,-3.4115138849,180.55599999999998,3.3588000000000005,0.0,0.0,0.5454545454545454,0.0,0.0,1.0,0.14285714285714285,11.0,254.10775327612674
CCC(C)(CCC(C)C)C(=O)OCC1CO1,-3.5134687407,228.33199999999994,2.780900000000001,38.83,7.0,0.0,0.0,3.0,1.0,0.9230769230769231,16.0,233.3322056507386
CC(C)CCCCCOC(=O)CCS,-4.4543816995,218.362,3.0659000000000023,26.3,8.0,0.0,1.0,3.0,0.0,0.9090909090909091,14.0,146.22295770630774
CC(C)=C1CCC(=CC1)C,-4.2873429345,136.238,3.453000000000002,0.0,0.0,0.0,0.0,0.0,1.0,0.6,10.0,178.21499122004107
[Zn++].CC(=C)C([O-])=O,-2.3632080977000003,150.47199999999998,-0.6901000000000002,40.129999999999995,1.0,0.0,0.0,2.0,0.0,0.25,7.0,75.69058447171099
CCNCC(O)c1cccc(O)c1,-3.4541026398000003,181.23499999999999,1.0351,52.489999999999995,4.0,0.46153846153846156,3.0,3.0,1.0,0.4,13.0,262.8565878189707
[Zn++].CCC(C)O[P]([S-])(=S)OC(C)CC(C)C.CCC(C)O[P]([S-])(=S)OC(C)CC(C)C,-2.9908768679000004,604.1740000000001,8.045700000000007,36.92,14.0,0.0,0.0,8.0,0.0,1.0,31.0,495.30922368149106
ClCc1ccc(Cl)cc1Cl,-3.5129421932,195.476,3.7322000000000015,0.0,1.0,0.6,0.0,0.0,1.0,0.14285714285714285,10.0,232.29287048965844
CC1(C)C2CCC(=C)C1C2,-4.2923134549,136.238,2.9987000000000013,0.0,0.0,0.0,0.0,0.0,3.0,0.8,10.0,174.47733175670794
CCCCCCCC\C=C/CCCCCCCC(O)=O.NCCNCCO,-4.8091341894,386.6210000000001,4.635500000000003,95.58,19.0,0.0,4.0,4.0,0.0,0.8636363636363636,27.0,305.9330151827408
CCCCCCCCCCCCOC(=O)C(C)O,-4.6341446203,258.40199999999993,3.831300000000003,46.53,12.0,0.0,1.0,3.0,0.0,0.9333333333333333,18.0,190.1777353463783
C=CC(=O)OCCOc1ccccc1,-2.5636257131,192.21400000000003,1.7946,35.53,5.0,0.42857142857142855,0.0,3.0,1.0,0.18181818181818182,14.0,292.660770563408
CCCC[N+](CCCC)(CCCC)Cc1ccccc1.Oc2ccc(c3ccccc23)[S]([O-])(=O)=O,-2.6418192727000003,499.71700000000016,6.85320000000001,77.43,12.0,0.45714285714285713,1.0,4.0,3.0,0.4482758620689655,35.0,1108.1123138703729
OC(=O)CCCCCCCCC=C,-3.5528261451999996,184.27899999999997,3.3778000000000024,37.3,9.0,0.0,1.0,1.0,0.0,0.7272727272727273,13.0,141.0257051333355
C[N+](C)(CCCN[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC([O-])=O,-4.0571851475,570.3679999999999,2.2511,86.30000000000001,14.0,0.0,1.0,4.0,0.0,0.9333333333333333,35.0,857.4056776910804
CCC(Cc1ccccc1)(N(C)C)C(=O)c2ccc(cc2)N3CCOCC3,-4.7932278922,366.50500000000017,3.6590000000000025,32.78,7.0,0.4444444444444444,0.0,4.0,3.0,0.43478260869565216,27.0,736.7334819718303
CC(C)CCCCCCc1ccc(O)cc1,-4.587250024599999,220.35600000000002,4.541200000000005,20.23,7.0,0.375,1.0,1.0,1.0,0.6,16.0,273.9913549938148
CC(=C)c1cccc(c1)C(C)=C,-4.4511392251999995,158.24399999999994,3.7528000000000024,0.0,2.0,0.5,0.0,0.0,1.0,0.16666666666666666,12.0,289.31512465051037
CC(C)(C)CCCCCC(=O)OC=C,-4.581332510899999,198.30599999999998,3.6697000000000024,26.3,6.0,0.0,0.0,2.0,0.0,0.75,14.0,177.25097565253358
