SMILES,logS,HBA,BertzCT,TPSA,RotB,LogP,MolWt,AroProp
[Br-].CCCCCCCCCCCCCCCCCC[N+](C)(C)C,-3.6161271205,0.0,210.377334085253,0.0,17.0,3.9581000000000017,392.5100000000002,0.0
O=C1Nc2cccc3cccc1c23,-3.2547670983,1.0,511.2292477154968,29.1,0.0,2.405500000000001,169.18299999999996,0.7692307692307693
Clc1ccc(C=O)cc1,-2.1770779444,1.0,202.66106510209752,17.07,1.0,2.1525,140.569,0.6666666666666666
[Zn++].CC(c1ccccc1)c2cc(C(C)c3ccccc3)c(O)c(c2)C([O-])=O.CC(c4ccccc4)c5cc(C(C)c6ccccc6)c(O)c(c5)C([O-])=O,-3.9244090954,6.0,1964.648665828827,120.72,10.0,8.11610000000001,756.2260000000002,0.6792452830188679
C1OC1CN(CC2CO2)c3ccc(Cc4ccc(cc4)N(CC5CO5)CC6CO6)cc3,-4.6620645831,6.0,769.8999341256456,56.6,12.0,2.4854000000000003,422.5250000000002,0.3870967741935484
Cc1cccc(C=C)c1,-3.1231503041,0.0,211.03322454351994,0.0,1.0,2.638020000000001,118.17899999999999,0.6666666666666666
CCC1CCC(CCC(O)=O)C1,-3.2861163139999996,1.0,153.9175691117035,37.3,4.0,2.6775,170.25199999999998,0.0
CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO,-2.6645485391,6.0,755.7707920367225,115.06000000000002,2.0,0.5283999999999995,376.4490000000002,0.0
Fc1ccc(cc1)C(=O)c2ccc(F)cc2,-4.396652184700001,1.0,452.9607327512057,17.07,2.0,3.195800000000001,218.202,0.75
O=C(OCCCOCCCOC(=O)c1ccccc1)c2ccccc2,-4.595502563999999,5.0,582.1507932669278,61.830000000000005,10.0,3.497200000000002,342.391,0.48
CN(C)c1ccc(C=O)cc1,-2.2827688499,2.0,238.24457522403964,20.310000000000002,2.0,1.5651,149.19299999999998,0.5454545454545454
CC(=O)OC(C)(C)Cc1ccccc1,-2.3946499685,2.0,301.3575848525983,26.3,3.0,2.570800000000001,192.25800000000004,0.42857142857142855
Cc1ccc(O)c(C)c1.Cc2ccc(C)c(O)c2.Cc3cc(C)cc(O)c3.Cc4ccc(O)cc4C.Cc5cccc(O)c5C.Cc6cccc(C)c6O,-1.9803097957,6.0,1804.4185474688127,121.38000000000001,0.0,12.05423999999998,733.0020000000002,0.6666666666666666
CC(C)(C)c1ccc(OCC2CO2)cc1,-3.4302388798,2.0,317.38434399782966,21.759999999999998,3.0,2.761700000000001,206.28499999999997,0.4
COCCCCC(=O)c1ccc(cc1)C(F)(F)F,-3.5440597007999997,2.0,382.2179844419697,26.3,6.0,3.7048000000000023,260.255,0.3333333333333333
CC(C)=CCC\C(C)=C/CO,-2.3206011661000003,1.0,150.25571236699292,20.23,4.0,2.6714000000000016,154.253,0.0
CC(Oc1ccc(Cl)cc1C)C(O)=O,-2.4660307863,2.0,349.2203893594689,46.53,3.0,2.5003199999999994,214.64799999999997,0.42857142857142855
[Zn++].CCCCC(CC)CO[P]([S-])(=S)OCC(C)C.CCCCC(CC)CO[P]([S-])(=S)OCC(C)C,-2.9581950472000003,8.0,523.6422056449971,36.92,20.0,9.324300000000001,660.2820000000003,0.0
FC(F)(F)c1cccc(Cl)c1,-3.4115138849,0.0,254.10775327612674,0.0,0.0,3.3588000000000005,180.55599999999998,0.5454545454545454
CCC(C)(CCC(C)C)C(=O)OCC1CO1,-3.5134687407,3.0,233.3322056507386,38.83,7.0,2.780900000000001,228.33199999999994,0.0
CC(C)CCCCCOC(=O)CCS,-4.4543816995,3.0,146.22295770630774,26.3,8.0,3.0659000000000023,218.362,0.0
CC(C)=C1CCC(=CC1)C,-4.2873429345,0.0,178.21499122004107,0.0,0.0,3.453000000000002,136.238,0.0
[Zn++].CC(=C)C([O-])=O,-2.3632080977000003,2.0,75.69058447171099,40.129999999999995,1.0,-0.6901000000000002,150.47199999999998,0.0
CCNCC(O)c1cccc(O)c1,-3.4541026398000003,3.0,262.8565878189707,52.489999999999995,4.0,1.0351,181.23499999999999,0.46153846153846156
[Zn++].CCC(C)O[P]([S-])(=S)OC(C)CC(C)C.CCC(C)O[P]([S-])(=S)OC(C)CC(C)C,-2.9908768679000004,8.0,495.30922368149106,36.92,14.0,8.045700000000007,604.1740000000001,0.0
ClCc1ccc(Cl)cc1Cl,-3.5129421932,0.0,232.29287048965844,0.0,1.0,3.7322000000000015,195.476,0.6
CC1(C)C2CCC(=C)C1C2,-4.2923134549,0.0,174.47733175670794,0.0,0.0,2.9987000000000013,136.238,0.0
CCCCCCCC\C=C/CCCCCCCC(O)=O.NCCNCCO,-4.8091341894,4.0,305.9330151827408,95.58,19.0,4.635500000000003,386.6210000000001,0.0
CCCCCCCCCCCCOC(=O)C(C)O,-4.6341446203,3.0,190.1777353463783,46.53,12.0,3.831300000000003,258.40199999999993,0.0
C=CC(=O)OCCOc1ccccc1,-2.5636257131,3.0,292.660770563408,35.53,5.0,1.7946,192.21400000000003,0.42857142857142855
CCCC[N+](CCCC)(CCCC)Cc1ccccc1.Oc2ccc(c3ccccc23)[S]([O-])(=O)=O,-2.6418192727000003,4.0,1108.1123138703729,77.43,12.0,6.85320000000001,499.71700000000016,0.45714285714285713
OC(=O)CCCCCCCCC=C,-3.5528261451999996,1.0,141.0257051333355,37.3,9.0,3.3778000000000024,184.27899999999997,0.0
C[N+](C)(CCCN[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC([O-])=O,-4.0571851475,4.0,857.4056776910804,86.30000000000001,14.0,2.2511,570.3679999999999,0.0
CCC(Cc1ccccc1)(N(C)C)C(=O)c2ccc(cc2)N3CCOCC3,-4.7932278922,4.0,736.7334819718303,32.78,7.0,3.6590000000000025,366.50500000000017,0.4444444444444444
CC(C)CCCCCCc1ccc(O)cc1,-4.587250024599999,1.0,273.9913549938148,20.23,7.0,4.541200000000005,220.35600000000002,0.375
CC(=C)c1cccc(c1)C(C)=C,-4.4511392251999995,0.0,289.31512465051037,0.0,2.0,3.7528000000000024,158.24399999999994,0.5
CC(C)(C)CCCCCC(=O)OC=C,-4.581332510899999,2.0,177.25097565253358,26.3,6.0,3.6697000000000024,198.30599999999998,0.0
Cc1ccc(cc1)C(C)(C)C,-4.4720217682,0.0,223.21037742768323,0.0,0.0,3.2925200000000014,148.249,0.5454545454545454
OC(=O)C1CCCCC1,-1.445031941,1.0,103.4837783761905,37.3,1.0,1.6513,128.17100000000002,0.0
[Na+].[Na+].[Na+].[Na+].[Na+].[O-][S](=O)(=O)OCC[S](=O)(=O)c1cccc(Nc2nc(Cl)nc(Nc3cc(cc4C=C(\C(=N/Nc5ccc6c(cccc6[S]([O-])(=O)=O)c5[S]([O-])(=O)=O)C(=O)c34)[S]([O-])(=O)=O)[S]([O-])(=O)=O)n2)c1,-0.4108977358,26.0,3615.4533974183996,433.55999999999995,15.0,-14.301299999999994,1136.3280000000002,0.4057971014492754
C(CCCN=C\C=C\c1ccccc1)CCN=C/C=C/c2ccccc2,-3.8937390711,2.0,634.0052065779112,24.72,11.0,6.115200000000006,344.502,0.46153846153846156
CC(C)(C)CC(C)(C)c1cc(Cc2cc(cc(n3nc4ccccc4n3)c2O)C(C)(C)CC(C)(C)C)c(O)c(c1)n5nc6ccccc6n5,-7.973715535399999,8.0,1937.7168881281686,101.88,8.0,9.583999999999996,658.8910000000001,0.6122448979591837
[Cl-].CCN(CC[N+](C)(C)C)c1ccc(cc1)N=Nc2ccc(cc2Cl)[N+]([O-])=O,-3.0386996230000003,5.0,820.0639648889836,71.1,8.0,2.200100000000001,426.3480000000001,0.42857142857142855
C1CN(CCO1)Sc2sc3ccccc3n2,-3.8109627954,5.0,446.544227692605,25.36,2.0,2.635600000000001,252.364,0.5625
CC1(C)[C@H]2C[C@@H]3O[C@]3(C)[C@@H]1C2,-2.5936884915,1.0,216.15777938858872,12.53,0.0,2.2099,152.237,0.0
[Na+].[Na+].[Na+].[Na+].NC(=O)Nc1cc(Nc2nc(Cl)nc(Nc3cccc(c3)[S](=O)(=O)CCO[S]([O-])(=O)=O)n2)ccc1N=Nc4cc5c(cc(cc5[S]([O-])(=O)=O)[S]([O-])(=O)=O)cc4[S]([O-])(=O)=O,-0.4261364852,23.0,3157.9320304830953,414.73999999999995,15.0,-9.94980000000002,1026.2630000000001,0.4444444444444444
[Na+].[Na+].CCCCCCCCCCCCNc1nc(Cl)nc(Nc2ccc3c(O)c(N=Nc4ccc(cc4)N=Nc5ccc(cc5)[S]([O-])(=O)=O)c(cc3c2)[S]([O-])(=O)=O)n1,-3.358911212,16.0,2411.468973161006,246.79999999999995,20.0,4.107200000000002,868.35,0.4827586206896552
CCCN(CCC)C(=O)SCC,-2.7031744039,2.0,121.69694286392863,20.310000000000002,5.0,2.9815000000000014,189.32399999999998,0.0
C1CC(CCC1COCC2CO2)COCC3CO3,-1.8357972344,4.0,216.17854646049202,43.519999999999996,8.0,1.6236,256.342,0.0
CC(CC1=CC(=CC(=O)N1O)C)CC(C)(C)C.NCCO,-3.9054642035,5.0,473.3909247801034,88.48,4.0,1.9462199999999998,298.427,0.2857142857142857
O=[P+]1Oc2ccccc2c3ccccc13,-1.7796231349,2.0,700.3760069281869,30.21,0.0,4.328400000000002,215.16799999999998,0.9333333333333333
C=COC(=O)c1ccccc1,-2.6229591952,2.0,251.52506007307377,26.3,2.0,1.9868999999999999,148.16099999999997,0.5454545454545454
COC(=O)c1ccc(cc1)C(C)(C)C,-3.7398163758,2.0,317.1701202996887,26.3,1.0,2.7707000000000015,192.25799999999998,0.42857142857142855
Cc1cccc(CC(C)(C)CO)c1,-2.8265354685000004,1.0,276.2078950935822,20.23,3.0,2.556020000000001,178.275,0.46153846153846156
CC(=O)OC\C=C(C)/CCC=C(C)C,-3.7549532157,2.0,232.7062842434894,26.3,5.0,3.242200000000002,196.29,0.0
CC1(C)[C@H]2CC=C(CCO)[C@@H]1C2,-2.6959998037,1.0,215.04400223825917,20.23,2.0,2.3612,166.264,0.0
CC1CC(=O)CC(C)(C)C1,-1.6471414632,1.0,146.80725598781606,17.07,0.0,2.401700000000001,140.22599999999997,0.0
C=CC(=O)OCCOc1ccccc1c2ccccc2,-3.9515188418,3.0,575.7988048405728,35.53,6.0,3.4616000000000016,268.312,0.6
SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,-5.1231687481,12.0,436.0525055103621,105.20000000000002,16.0,1.4251999999999998,488.67100000000033,0.0
Cc1cc(cc(C)c1O)C(C)(C)c2cc(C)c(O)c(C)c2,-4.952868802799999,2.0,591.197920970157,40.46,2.0,4.657380000000004,284.399,0.5714285714285714
CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,-5.4730005799,6.0,885.5832274818622,78.9,53.0,18.769099999999984,891.500999999999,0.0
CCOC(=O)CC(C)CC(C)(C)C,-3.8230431676,2.0,155.96343903735325,26.3,4.0,3.0119000000000016,186.29499999999996,0.0
CCc1ccc(C)nc1,-1.0042604536,1.0,176.26405299160075,12.89,1.0,1.9524199999999998,121.18299999999998,0.6666666666666666
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)[C@H](C)O,-2.9799872046,3.0,235.3322056507386,46.53,3.0,2.3712000000000004,228.332,0.0
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,-3.1784471289,5.0,723.9130815015496,94.83,2.0,1.5575999999999999,360.4500000000002,0.0
[Na+].[Na+].Cc1ccc(Nc2ccc(Nc3ccc(C)cc3[S]([O-])(=O)=O)c4C(=O)c5ccccc5C(=O)c24)c(c1)[S]([O-])(=O)=O,-1.4270312571,10.0,1836.5953336473772,172.59999999999997,6.0,-1.6177599999999943,622.5880000000003,0.5714285714285714
CC(=C)C(=O)OCCOc1ccccc1,-2.9526471698,3.0,329.98028532933694,35.53,5.0,2.1847000000000003,206.241,0.4
CCCCOCCOCCOCc1cc2OCOc2cc1CCC,-4.1510889183,5.0,475.07010591802384,46.150000000000006,13.0,3.7177000000000024,338.44400000000013,0.25
CF,-0.1758743764999999,0.0,2.0,0.0,0.0,0.5857,34.033,0.0
C(COc1ccccc1)Oc2ccccc2,-3.9885265275,2.0,356.0952225964737,18.46,5.0,3.144400000000002,214.26399999999998,0.75
CCc1cc(Cc2cc(CC)c(N)c(CC)c2Cl)c(Cl)c(CC)c1N,-7.2780387128,2.0,716.9411214738501,52.04,6.0,5.998200000000005,379.37500000000017,0.48
[Na+].Cc1cc(C)c(Nc2cc(c(N)c3C(=O)c4ccccc4C(=O)c23)[S]([O-])(=O)=O)c(C)c1CNC(=O)c5ccccc5,-1.4396051212999998,8.0,1889.0811835864993,158.48999999999998,6.0,1.5511600000000008,591.6210000000003,0.5714285714285714
CCCC(CCC)C(O)=O,-1.8579774272,1.0,93.43071362054202,37.3,5.0,2.2874,144.214,0.0
[Zn++].[S-]c1sc2ccccc2n1.[S-]c3sc4ccccc4n3,-4.285895804,6.0,718.0672908331296,25.78,0.0,4.401700000000002,397.8900000000001,0.8571428571428571
Oc1ccccc1.ClCC2CO2.C=O,-4.0347567611,3.0,224.06853695944784,49.83,1.0,1.8312999999999997,216.66399999999993,0.42857142857142855
CCCCCC/C=C/C1CC(=O)OC1=O,-4.0217535151999995,3.0,255.59284654013777,43.370000000000005,6.0,2.6027000000000005,210.27299999999994,0.0
CC(=C)C(O)=O.CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.ClCC3CO3,-5.229282852,4.0,703.0190510341763,90.29,4.0,4.694800000000003,406.9060000000002,0.42857142857142855
CC1=CC[C@H]2C[C@@H]1C2(C)C,-4.7725704235,0.0,186.21499122004107,0.0,0.0,2.9987000000000013,136.238,0.0
